key|fr|en|es
pageTitle|L’art, réinventé par Sylvie van Waesberghe|Art, Reimagined by Sylvie van Waesberghe|El arte, reinventado por Sylvie van Waesberghe
heroImageAlt|Œuvre emblématique de Sylvie van Waesberghe|Iconic work by Sylvie van Waesberghe|Obra emblemática de Sylvie van Waesberghe
heroTitle|L’art, réinventé par <span class="text-brand-gold">Sylvie van Waesberghe</span>|Art, Reimagined by <span class="text-brand-gold">Sylvie van Waesberghe</span>|El arte, reinventado por <span class="text-brand-gold">Sylvie van Waesberghe</span>
heroSubtitle|Explorez un univers où la matière prend vie et l'émotion devient tangible.|Explore a universe where matter comes alive and emotion becomes tangible.|Explora un universo donde la materia cobra vida y la emoción se vuelve tangible.
aboutImageAlt|Portrait de Sylvie van Waesberghe|Portrait of Sylvie van Waesberghe|Retrato de Sylvie van Waesberghe
aboutTitle|À Propos de <span class="text-brand-gold">Sylvie van Waesberghe</span>|About <span class="text-brand-gold">Sylvie van Waesberghe</span>|Acerca de <span class="text-brand-gold">Sylvie van Waesberghe</span>
aboutP1|Artiste, Sylvie van Waesberghe sculpte, peint et façonne des œuvres uniques.|Artist, Sylvie van Waesberghe sculpts, paints, and shapes unique works.|Artista, Sylvie van Waesberghe esculpe, pinta y da forma a obras únicas.
aboutP2|Chaque pièce est le fruit d'une recherche approfondie et d'une exécution méticuleuse, garantissant une authenticité absolue. Posséder une œuvre de Sylvie van Waesberghe, c'est inviter chez soi un fragment d'émotion pure et d'exclusivité.|Each piece is the result of in-depth research and meticulous execution, ensuring absolute authenticity. Owning a work by Sylvie van Waesberghe means inviting a fragment of pure emotion and exclusivity into your home.|Cada pieza es fruto de una investigación profunda y una ejecución meticulosa, garantizando una autenticidad absoluta. Poseer una obra de Sylvie van Waesberghe es invitar a casa un fragmento de emoción pura y exclusividad.
galleryTitle|Quelques Œuvres Sélectionnées|Selected Works|Obras Seleccionadas
galleryAlt1|Crèche Découpe bois|Wood cutting|Corte de madera
galleryAlt2|Crèche Découpe bois|Wood cutting|Corte de madera
galleryAlt3|Figurine fait main en terre cuite|Handmade terracotta figurine|Figura de terracota hecha a mano
galleryAlt4|Figurine fait main en terre cuite|Handmade terracotta figurine|Figura de terracota hecha a mano
galleryAlt5|Peinture|Painting|pintura
galleryAlt6|Peinture de votre maison|APainting your house|Pintura de su casa
galleryCaption1|Crèche Découpe bois|Wood cutting|Corte de madera
galleryCaption2|Crèche Découpe bois|Wood cutting|Corte de madera
galleryCaption3|Figurine fait main en terre cuite|Handmade terracotta figurine|Figura de terracota hecha a mano
galleryCaption4|Figurine fait main en terre cuite|Handmade terracotta figurine|Figura de terracota hecha a mano
galleryCaption5|Peinture|Painting|pintura
galleryCaption6|Peinture de votre maison|APainting your house|Pintura de su casa
testimonialsTitle|Témoignages de Clients|Client Testimonials|Testimonios de Clientes
testimonial1Quote|"Superbe , tu nous impressionnes toujours plus !."|"Superb, you always impress us more!."|"¡Magnífico, siempre nos impresionas más!."
testimonial1Cite|- Une cliente|- A client|- Una clienta
testimonial2Quote|"Posséder une œuvre de Sylvie van Waesberghe est un investissement émotionnel."|"Owning a piece by Sylvie van Waesberghe is an emotional investment."|"Poseer una obra de Sylvie van Waesberghe es una inversión emocional."
testimonial2Cite|- Une autre cliente|- Another client|- Otra clienta
contactTitle|Prendre contact|Get in Touch|Ponerse en Contacto
contactText|Contactez Sylvie van Waesberghe pour discuter de vos envies ou obtenir des informations sur les œuvres disponibles via son email sylvie@waesberghe.com ou ses réseaux sociaux.|Contact Sylvie van Waesberghe to discuss your desires or obtain information about available works via her email sylvie@waesberghe.com or her social networks.|Contacta a Sylvie van Waesberghe para discutir tus deseos u obtener información sobre las obras disponibles a través de su correo electrónico sylvie@waesberghe.com o sus redes sociales.
contactEmailAria|Envoyer un email à Sylvie van Waesberghe|Send an email to Sylvie van Waesberghe|Enviar un correo electrónico a Sylvie van Waesberghe
contactEmailLabel|Email|Email|Correo
contactFacebookAria|Sylvie van Waesberghe sur Facebook|Sylvie van Waesberghe on Facebook|Sylvie van Waesberghe en Facebook
contactFacebookLabel|Facebook|Facebook|Facebook
contactInstagramAria|Sylvie van Waesberghe sur Instagram|Sylvie van Waesberghe on Instagram|Sylvie van Waesberghe en Instagram
contactInstagramLabel|Instagram|Instagram|Instagram
footerRights|Tous droits réservés.|All rights reserved.|Todos los derechos reservados.
